"cast_id","cast_name","gender","movie_id","k_role","is_main_cast","index","id","k_title","k_type","k_release_date","k_region","k_movie_year","k_genres","is_rating","rating_num","rating_people","k_rating_people","rating_index","k_movie_id","k_cast_id","uid","portray"
"27493032","章涛","男","34792296","演员","是","17","34792296","欢迎光临","电视剧","2022-05-18","中国大陆","2022","剧情/喜剧/爱情","有评分","6.4","56516","56516","601","69584641","54986113","74","蒋先生"
"27487827","马文忠","男","34792295","演员","是","45","34792295","乔家的儿女","电视剧","2021-08-17","中国大陆","2021","剧情/家庭","有评分","7.7","235622","235622","1347","69584639","54975703","76","马毓霖"
"27547752","朱珠","女","34792295","演员","是","15","34792295","乔家的儿女","电视剧","2021-08-17","中国大陆","2021","剧情/家庭","有评分","7.7","235622","235622","1347","69584639","55095553","77","马素芹"
"27547625","松峰莉璃","女","25994712","演员","是","12","25994712","伪装者","电视剧","2015-08-31","中国大陆","2015","剧情/悬疑","有评分","8.6","382758","382758","1814","51989473","55095299","78","南田洋子"
"27481022","陈洁","女","36534750","演员","否","999","36534750","小巷人家","电视剧","2024-10-28","中国大陆","2024","剧情/家庭","有评分","8.4","287902","287902","1555","73069549","54962093","79","工作人员甲"
"27484212","洛葳","女","36534750","演员","否","999","36534750","小巷人家","电视剧","2024-10-28","中国大陆","2024","剧情/家庭","有评分","8.4","287902","287902","1555","73069549","54968473","80","李佳妈"
"27481070","严晓频","女","35613241","演员","是","35","35613241","县委大院","电视剧","2022-12-07","中国大陆","2022","剧情","有评分","6.8","109693","109693","864","71226531","54962189","81","刘巧珍"
"27481070","严晓频","女","34792298","演员","是","10","34792298","相逢时节","电视剧","2022-02-23","中国大陆","2022","剧情","有评分","4.9","33169","33169","403","69584645","54962189","82","宁惠"
"27551192","孟佩璁","男","26671336","剪辑指导","否","999","26671336","得闲谨制","电影","2025-12-06","中国大陆","2025","剧情/战争","有评分","6.9","268554","268554","1361","53342721","55102433","83",
"27481307","郎峰","男","35033654","演员","否","999","35033654","山海情","电视剧","2021-01-12","中国大陆","2021","剧情","有评分","9.2","481571","481571","2105","70067357","54962663","84","福建工厂老板"
"27484616","李金燕","女","25870290","配音","否","999","25870290","温州两家人","电视剧","2015-11-26","中国大陆","2015","剧情","有评分","7.8","7118","7118","236","51740629","54969281","85",
