cast_id,cast_name,gender,movie_id,k_role,is_main_cast,index,id,k_title,k_type,k_release_date,k_region,k_movie_year,k_genres,is_rating,rating_num,rating_people,k_rating_people,rating_index,k_movie_id,k_cast_id,uid,portray,movie_id_m,cast_role_agg,main_cast
27553886,范哲琛,男,26683725,演员,否,999,26683725,外科风云,电视剧,2017-04-17,中国大陆,2017,剧情/爱情,有评分,7.3,94754,94754,832,53367499,55107821,28,赵立武,m53367499,演员,"靳东, 白百何, 李佳航, 马少骅, 蓝盈莹"
27553886,范哲琛,男,26665065,演员,否,999,26665065,琅琊榜之风起长林,电视剧,2017-12-18,中国大陆,2017,剧情/古装,有评分,8.4,210088,210088,1328,53330179,55107821,29,渭无病,m53330179,演员,"黄晓明, 刘昊然, 佟丽娅, 张慧雯, 梅婷"
27483390,常方源,女,26683725,演员,是,16,26683725,外科风云,电视剧,2017-04-17,中国大陆,2017,剧情/爱情,有评分,7.3,94754,94754,832,53367499,54966829,32,儿科医生,m53367499,演员,"靳东, 白百何, 李佳航, 马少骅, 蓝盈莹"
27541670,李雪,男,34792296,导演,是,1,34792296,欢迎光临,电视剧,2022-05-18,中国大陆,2022,剧情/喜剧/爱情,有评分,6.4,56516,56516,601,69584641,55083389,33,,m69584641,导演,"黄轩, 白百何, 朱雨辰, 白宇帆, 丁嘉丽"
27541670,李雪,男,30423905,导演,是,1,30423905,大江大河2,电视剧,2020-12-20,中国大陆,2020,剧情/历史,有评分,8.7,208072,208072,1345,60847859,55083389,35,,m60847859,导演,"王凯, 杨烁, 董子健, 杨采钰, 周放"
27541670,李雪,男,30421903,导演,是,1,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,55083389,36,,m60843855,导演,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
27541670,李雪,男,26683725,导演,是,1,26683725,外科风云,电视剧,2017-04-17,中国大陆,2017,剧情/爱情,有评分,7.3,94754,94754,832,53367499,55083389,37,,m53367499,导演,"靳东, 白百何, 李佳航, 马少骅, 蓝盈莹"
27541670,李雪,男,26665065,导演,是,2,26665065,琅琊榜之风起长林,电视剧,2017-12-18,中国大陆,2017,剧情/古装,有评分,8.4,210088,210088,1328,53330179,55083389,38,,m53330179,导演,"黄晓明, 刘昊然, 佟丽娅, 张慧雯, 梅婷"
27541670,李雪,男,25994712,导演,是,1,25994712,伪装者,电视剧,2015-08-31,中国大陆,2015,剧情/悬疑,有评分,8.6,382758,382758,1814,51989473,55083389,39,,m51989473,导演,"胡歌, 靳东, 刘敏涛, 王凯, 宋轶"
27541670,李雪,男,25754848,导演,是,2,25754848,琅琊榜,电视剧,2015-09-19,中国大陆,2015,剧情/古装,有评分,9.4,919060,919060,2939,51509745,55083389,40,,m51509745,导演,"胡歌, 刘涛, 王凯, 陈龙, 黄维德"
